,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,PrgDist Car,Prog
Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,25-305,1995,6.9,21.6,29.1,74.1,404.8,90.3,8.99,10.6,84.9,7.25,10,72.5,3.48,6.09,57.1,0,0.03,-0.03,0.58,1.3,0.58,0.29,55.1,2.03
Nikola Maksimović,rs SRB,DF,Napoli,it Serie A,29-001,1991,0.5,94,94,100,2224,582,28,28,100,38,38,100,28,28,100,0,0,0,0,0,0,0,190,2
Filip Malbašić,rs SRB,FWMF,Cádiz,es La Liga,28-008,1992,3.2,7.81,15.3,51,125.9,45.9,3.75,5.63,66.7,3.13,5,62.5,0.63,1.88,33.3,0.31,0,0.31,0.31,1.25,0.63,0.31,80.6,1.88
Kévin Malcuit,ma MAR,MF,Napoli,it Serie A,29-118,1991,0.2,25,25,100,265,125,20,20,100,5,5,100,0,0,,0,0,0,0,5,5,0,20,10
Daniel Maldini,it ITA,FW,Milan,it Serie A,19-046,2001,0.1,40,40,100,730,230,10,10,100,10,10,100,10,10,100,0,0,0,0,10,0,0,130,10
Ruslan Malinovskyi,ua UKR,FWMF,Atalanta,it Serie A,27-206,1993,3.8,42.9,55.8,76.9,901.3,244.5,14.5,16.6,87.3,19.2,23.2,83,7.63,12.6,60.4,0.53,0.47,0.05,3.68,3.95,3.42,0.53,216.8,7.89
Yunus Mallı,tr TUR,MF,Wolfsburg,de Bundesliga,28-276,1992,0.6,18.3,21.7,84.6,340,103.3,6.67,6.67,100,10,11.7,85.7,1.67,3.33,50,0,0.17,-0.17,3.33,3.33,1.67,0,78.3,3.33
Hugo Mallo,es ESP,DF,Celta Vigo,es La Liga,29-157,1991,7,43.4,60.7,71.5,790.6,340.1,18.7,21.7,86.2,19.4,26,74.7,4.86,11.3,43,0,0.16,-0.16,0.86,2.43,1,0.43,93.9,4.57
Mickael Malsa,mq MTQ,MF,Levante,es La Liga,25-045,1995,6.5,47.1,54.6,86.2,885.4,257.5,19.5,20.9,93.4,20.3,23.1,88,6.62,9.23,71.7,0,0.03,-0.03,0.77,5.08,0.62,0.15,103.5,6.46
Hianga Mananga Mbock,fr FRA,MF,Brest,fr Ligue 1,20-334,1999,2.2,38.6,41.4,93.4,899.1,167.7,9.55,10,95.5,18.6,20.5,91.1,10,10,100,0,0,0,0.45,4.09,0.45,0,133.2,1.36
Vincent Manceau,fr FRA,DF,Angers,fr Ligue 1,31-139,1989,4.7,50.4,63.8,79,882.6,422.1,22.8,25.7,88.4,22.6,26.8,84.1,4.26,9.36,45.5,0,0,0,0.43,2.77,0.64,0.43,76,3.83
Gianluca Mancini,it ITA,DF,Roma,it Serie A,24-223,1996,8,42.9,49.5,86.6,839,238.1,14.4,16.3,88.5,22.3,24.6,90.4,5.75,7.63,75.4,0,0,0,0,2.5,0.25,0,97.8,2.63
Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,35-243,1985,9,23.6,36.1,65.2,729.6,469,3.67,3.67,100,10.8,11,98,9.11,21.4,42.5,0,0,0,0,0,0,0,41.3,0
Reinildo Mandava,mz MOZ,DFMF,Lille,fr Ligue 1,26-310,1994,2.3,58.3,71.7,81.2,1007.4,350.4,30,33,90.8,22.2,25.2,87.9,5.65,10,56.5,0,0.26,-0.26,1.74,6.96,1.74,0.87,106.5,5.22
Aïssa Mandi,dz ALG,DF,Betis,es La Liga,29-035,1991,6.6,53.6,58.3,91.9,1256.7,428.9,13.2,14.1,93.5,26.8,27.6,97.3,13.3,15.8,84.6,0,0.02,-0.02,0.15,1.06,0.15,0,67.4,2.27
Rolando Mandragora,it ITA,MF,Udinese,it Serie A,23-150,1997,0.3,36.7,40,91.7,650,193.3,20,23.3,85.7,10,10,100,6.67,6.67,100,0,0,0,3.33,3.33,3.33,0,86.7,13.3
Sadio Mané,sn SEN,FW,Liverpool,eng Premier League,28-230,1992,7.9,26.2,33.7,77.8,452.8,98,12.2,14.8,82.1,10.6,12.7,84,2.66,3.54,75,0.13,0.22,-0.09,1.9,1.01,1.9,0.25,160,3.29
Eliaquim Mangala,fr FRA,DF,Valencia,es La Liga,29-287,1991,0.2,40,60,66.7,915,365,5,5,100,30,40,75,5,15,33.3,0,0,0,0,0,0,0,125,0
Orel Mangala,be BEL,MF,Stuttgart,de Bundesliga,22-253,1998,8,36.9,44.8,82.4,633,185.9,17.4,20.1,86.3,15.6,18,86.8,3.25,4.88,66.7,0,0.03,-0.03,0.25,3.25,0.63,0,144.1,3.5
Thomas Mangani,fr FRA,MF,Angers,fr Ligue 1,33-211,1987,7.9,53.8,65.1,82.7,997.1,302.7,24.3,26.6,91.4,21.8,24.9,87.3,6.58,11.8,55.9,0,0.04,-0.04,0.89,5.57,0.38,0.13,87.7,6.2
Vito Mannone,it ITA,GK,Monaco,fr Ligue 1,32-269,1988,2,22,33.5,65.7,678.5,348.5,0.5,0.5,100,11.5,11.5,100,10,21.5,46.5,0,0,0,0,0,0,0,40,0
Kostas Manolas,gr GRE,DF,Napoli,it Serie A,29-165,1991,6.5,52.8,56.8,93,1057.8,288.6,18,18.9,95.1,27.2,28.5,95.7,6.77,8.31,81.5,0,0.03,-0.03,0.15,2.31,0,0,110.9,2.46
Javier Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,26-205,1994,4.1,29.5,40.2,73.3,476.8,195.9,16.8,17.8,94.5,9.27,12.9,71.7,2.68,6.83,39.3,0,0.02,-0.02,0.49,1.22,0.24,0,106.6,2.68
Juan Manuel Ramos,uy URU,DF,Spezia,it Serie A,23-351,1996,2,38,49.5,76.8,716.5,299.5,18,21.5,83.7,13,15.5,83.9,6.5,9,72.2,0,0.05,-0.05,1,1,1.5,0.5,148.5,2
Myziane Maolida,fr FRA,MFFW,Nice,fr Ligue 1,21-286,1999,2,30.5,39,78.2,484.5,128,16.5,21.5,76.7,10.5,12.5,84,2,3,66.7,0,0.2,-0.2,1.5,2.5,1.5,1.5,167.5,2.5
Faitout Maouassa,fr FRA,DF,Rennes,fr Ligue 1,22-143,1998,3.4,42.4,52.6,80.4,755.9,187.1,21.2,23.8,88.9,13.8,17.1,81,6.47,9.71,66.7,0.29,0.26,0.03,2.06,1.47,0.88,0.88,171.2,1.47
Maranháo,br BRA,FWMF,Valladolid,es La Liga,24-037,1996,4.6,11.3,18.3,61.9,167,35,6.96,8.91,78,2.83,6.3,44.8,0.87,1.3,66.7,0,0.02,-0.02,0.43,1.09,0,0,#N/A,0.87
Fernando Marçal,br BRA,DF,Wolves,eng Premier League,31-281,1989,1.5,42.7,51.3,83.1,611.3,208,30.7,32,95.8,10,13.3,75,2,4.67,42.9,0,0.07,-0.07,1.33,0.67,0.67,0,116,1.33
Fernando Marçal,br BRA,DF,Lyon,fr Ligue 1,31-281,1989,0.9,71.1,78.9,90.1,1780,547.8,20,21.1,94.7,24.4,25.6,95.7,24.4,30,81.5,0,0,0,0,14.4,2.22,1.11,415.6,14.4
Marcelo,br BRA,DF,Real Madrid,es La Liga,32-198,1988,4,65.8,79.8,82.4,1121.5,402.5,34.5,37,93.2,22.5,26.3,85.7,7,12.8,54.9,0.25,0.03,0.23,0.75,7.25,2.25,0.75,124,8
Marcelo,br BRA,DF,Lyon,fr Ligue 1,33-190,1987,9.5,54.3,61.8,87.9,1269.2,382.1,14.3,14.8,96.5,26.5,28.6,92.6,13.2,17.7,74.4,0,0.01,-0.01,0.42,4.42,0.11,0,189.6,4
Solly March,eng ENG,DF,Brighton,eng Premier League,26-129,1994,7.3,41.4,57.3,72.2,767.5,238.5,20.1,23.6,85.5,15.3,19.6,78.3,5.48,11.9,46,0.14,0.08,0.05,0.96,2.74,2.05,0.68,219.5,4.11
Federico Marchetti,it ITA,GK,Genoa,it Serie A,37-293,1983,1,19,27,70.4,592,268,2,2,100,9,9,100,8,16,50,0,0,0,0,0,0,0,3,0
Riccardo Marchizza,it ITA,DF,Spezia,it Serie A,22-245,1998,1.5,37.3,52.7,70.9,794,311.3,14.7,18.7,78.6,17.3,21.3,81.3,5.33,9.33,57.1,0,0,0,0,3.33,0,0,125.3,1.33
Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,28-285,1992,8,70.3,75.3,93.4,1293.1,462.4,27.3,28.3,96.5,33.6,34.4,97.8,7.63,10.4,73.5,0.25,0.06,0.19,0.63,4.88,0.13,0,180.1,3.25
Iván Marcone,ar ARG,MF,Elche,es La Liga,30-176,1990,4.5,56.9,67.1,84.8,1096.4,274.4,21.8,26.2,83.1,24.4,27.6,88.7,9.56,11.3,84.3,0,0.02,-0.02,0.44,2.22,0.22,0,111.6,2.67
Óscar de Marcos,es ESP,FWDF,Athletic Club,es La Liga,31-226,1989,1,31,49,63.3,483,79,20,29,69,10,15,66.7,1,2,50,0,0,0,0,2,0,0,58,1
Dario Maresic,at AUT,DF,Reims,fr Ligue 1,21-058,1999,4.5,49.6,60.7,81.7,1142.9,398.4,12.2,13.1,93.2,26.2,29.1,90.1,10,16.4,60.8,0,0,0,0.22,6,0,0,177.1,6
José Mari,es ESP,MF,Cádiz,es La Liga,32-356,1987,5.6,18.8,28.6,65.6,378.8,119.5,9.11,11.6,78.5,6.07,9.11,66.7,3.21,6.79,47.4,0,0.04,-0.04,0.54,2.14,0.54,0,43.2,1.79
José Marí­a Giménez,uy URU,DF,Atlético Madrid,es La Liga,25-311,1995,3,44,49.7,88.6,1020.3,284.7,9.33,10.3,90.3,25,26.7,93.8,9,11.7,77.1,0,0,0,0,2.67,0,0,89.3,2
Mariano,do DOM,FW,Real Madrid,es La Liga,27-117,1993,1.1,11.8,16.4,72.2,156.4,30.9,6.36,7.27,87.5,3.64,3.64,100,0.91,2.73,33.3,0,0.18,-0.18,1.82,0,0,0,70.9,0.91
Jordan Marié,fr FRA,MF,Dijon,fr Ligue 1,29-058,1991,5,31.6,43.4,72.8,637,166.6,12,14.8,81.1,13.6,18.2,74.7,5.8,9.6,60.4,0,0.04,-0.04,1,3.6,0.2,0,54.8,2.8
Adrián Marí­n,es ESP,DFMF,Alavés,es La Liga,23-322,1997,0.9,35.6,47.8,74.4,677.8,293.3,14.4,18.9,76.5,17.8,17.8,100,3.33,10,33.3,0,0,0,0,0,0,0,81.1,5.56
Răzvan Marin,ro ROU,MF,Cagliari,it Serie A,24-187,1996,6.5,43.2,51.8,83.4,802.5,214.2,19.8,23.1,86,16.9,18.9,89.4,5.23,8.46,61.8,0.15,0.05,0.11,1.08,3.38,0.92,0,120.8,4.15
Guillermo Maripán,cl CHI,DFMF,Monaco,fr Ligue 1,26-204,1994,0.4,25,35,71.4,475,67.5,10,12.5,80,12.5,15,83.3,2.5,5,50,0,0,0,0,0,0,0,55,0
Marlon,br BRA,DFMF,Sassuolo,it Serie A,25-080,1995,1.2,83.3,89.2,93.5,1820,410,19.2,20.8,92,47.5,50,95,15.8,16.7,95,0,0,0,0,3.33,0,0,442.5,1.67
Marquinhos,br BRA,DFMF,Paris S-G,fr Ligue 1,26-196,1994,6.1,61.8,67,92.2,1205.7,358,23.9,24.8,96.7,28.5,30.2,94.6,8.85,11.6,76.1,0,0,0,0,4.92,0.16,0,171.3,2.95
Luca Marrone,it ITA,DF,Crotone,it Serie A,30-243,1990,7,48.4,57.6,84.1,1051.4,388.7,13.6,14.4,94.1,27.3,30.1,90.5,7.29,12.3,59.3,0,0,0,0,1.29,0.14,0,124.3,1.86
Roger Martí­,es ESP,FW,Levante,es La Liga,29-328,1991,3.5,13.7,23.4,58.5,215.1,45.1,8.57,12,71.4,3.71,6.86,54.2,1.43,2.86,50,0.29,0.17,0.11,0.57,1.43,0.29,0,44.3,1.43
Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,24-357,1995,4.2,22.4,28.6,78.3,305.2,46,14,16,88.1,6.43,8.33,77.1,0.71,0.71,100,0,0,0,0,1.19,0.71,0,112.4,1.9
Aarón Martí­n,es ESP,DF,Mainz 05,de Bundesliga,23-218,1997,0.2,70,90,77.8,950,245,45,55,81.8,25,35,71.4,0,0,,0,0,0,0,5,0,0,225,10
Jonas Martin,fr FRA,MF,Rennes,fr Ligue 1,30-231,1990,2.3,50.9,59.1,86,872.6,200.4,22.2,26.1,85,18.3,18.7,97.7,6.96,7.83,88.9,0,0.09,-0.09,1.3,3.48,0.87,0.43,77,3.48
Lucas Martí­nez Quarta,ar ARG,DF,Fiorentina,it Serie A,24-200,1996,1.6,55,61.9,88.9,1186.3,373.8,13.1,13.8,95.5,28.1,30.6,91.8,13.1,16.3,80.8,0,0,0,0,3.13,0,0,79.4,3.75
Emiliano Martí­nez,ar ARG,GK,Aston Villa,eng Premier League,28-085,1992,8,21.5,35.3,61,818.3,546.6,1.5,1.5,100,9.63,9.75,98.7,10.3,23.9,42.9,0,0,0,0,0.63,0,0,47.4,0
Iñigo Martí­nez,es ESP,DF,Athletic Club,es La Liga,29-193,1991,9,42.7,53,80.5,1065.3,335.7,8.56,9.56,89.5,22.6,24.7,91.4,11.4,18.1,63.2,0,0.06,-0.06,0.22,3.89,0.22,0,135.8,3.33
Javi Martí­nez,es ESP,MFDF,Bayern Munich,de Bundesliga,32-085,1988,2.7,71.9,80,89.8,1575.6,305.6,19.3,21.5,89.7,38.5,41.9,92,14.1,16.7,84.4,0,0.07,-0.07,0.37,8.52,0.74,0,181.9,6.3
Lautaro Martí­nez,ar ARG,FW,Inter,it Serie A,23-096,1997,6,15.2,21.3,71.1,188.2,38.7,9.83,12.8,76.6,2.67,4,66.7,0.67,1.5,44.4,0,0.15,-0.15,1.17,1.17,0.67,0,58,2
Pablo Martinez,fr FRA,DF,Nîmes,fr Ligue 1,31-279,1989,5.1,44.9,52.7,85.1,1152.9,328,9.02,9.41,95.8,21.4,23.3,91.6,14.1,19.4,72.7,0.2,0.02,0.18,0.39,3.73,0,0,162.9,2.94
Gelson Martins,pt POR,FWMF,Monaco,fr Ligue 1,25-199,1995,8.2,33.9,40.2,84.2,475.2,106.6,21.3,23.9,89.3,9.88,11.3,87.1,1.34,1.83,73.3,0.12,0.18,-0.06,1.1,1.83,1.46,0.49,184.5,2.8
Adam Marušić,me MNE,DF,Lazio,it Serie A,28-040,1992,4.8,35.2,45.8,76.8,611.9,183.5,16.9,19.6,86.2,14.8,18.5,79.8,3.13,5.63,55.6,0.21,0.15,0.06,1.25,1.25,0.42,0,97.7,2.08
Sylvain Marveaux,fr FRA,MFFW,Lorient,fr Ligue 1,34-225,1986,1.9,25.3,31.6,80,402.1,127.9,14.7,15.3,96.6,8.42,10.5,80,1.58,4.21,37.5,0,0,0,0,2.63,0,0,125.3,4.74
Omar Mascarell,es ESP,MF,Schalke 04,de Bundesliga,27-298,1993,7,37.9,46.9,80.8,855.4,188.7,11.7,13.6,86.3,16.7,19.9,84.2,8.57,11.4,75,0.14,0.01,0.13,0.29,2.43,0.29,0,55.7,2.71
Andrea Masiello,it ITA,DF,Genoa,it Serie A,34-295,1986,3.7,52.2,58.6,88.9,1133.8,468.6,16.8,17,98.4,24.3,25.7,94.7,10.8,14.9,72.7,0,0,0,0,2.97,0.27,0.27,96.8,5.41
Jordi Masip,es ESP,GK,Valladolid,es La Liga,31-328,1989,4,15.8,32.8,48.1,728.8,576.3,0.75,0.75,100,4.75,4.75,100,10.3,27.3,37.6,0,0,0,0,0.75,0,0,47,0
Roberto Massimo,de GER,DFFW,Stuttgart,de Bundesliga,20-045,2000,1.7,18.8,25.9,72.7,302.9,47.6,11.2,15.9,70.4,6.47,7.65,84.6,1.18,1.76,66.7,0,0,0,0,0.59,0,0,134.1,0.59
Arthur Masuaku,cd COD,DF,West Ham,eng Premier League,27-019,1993,7.9,41.5,51.8,80.2,698.4,248.7,22.8,25.4,89.6,14.3,17.7,80.7,3.8,6.33,60,0.13,0.2,-0.08,1.14,2.03,1.39,0.89,218,3.54
Jaime Mata,es ESP,FWMF,Getafe,es La Liga,32-033,1988,5.1,16.7,26.7,62.5,254.5,59.8,9.41,12.7,73.8,4.71,7.84,60,1.96,3.53,55.6,0,0.02,-0.02,0.78,0.98,0.39,0.2,36.7,1.76
Juan Mata,es ESP,FW,Manchester Utd,eng Premier League,32-212,1988,3.2,42.2,50.3,83.9,651.9,156.9,25.9,28.1,92.2,11.6,14.1,82.2,4.06,6.88,59.1,0.31,0.13,0.19,2.19,3.13,0.63,0.31,116.9,3.75
Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,18-285,2002,0.3,13.3,16.7,80,313.3,93.3,0,3.33,0,10,10,100,3.33,3.33,100,0,0,0,0,0,0,0,13.3,3.33
Jean-Philippe Mateta,fr FRA,FW,Mainz 05,de Bundesliga,23-151,1997,6.8,16.9,22.4,75.7,238.4,32.4,9.56,11.9,80.2,5,6.76,73.9,1.18,1.32,88.9,0.15,0.19,-0.04,1.47,0.44,0.44,0,44.4,0.59
Nemanja Matić,rs SRB,MF,Manchester Utd,eng Premier League,32-117,1988,2.8,71.4,79.6,89.7,1217.5,381.4,33.6,36.1,93.1,31.4,32.9,95.7,5.36,8.21,65.2,0,0,0,0.71,6.79,1.43,0.36,230.7,5.71
Joël Matip,cm CMR,DF,Liverpool,eng Premier League,29-110,1991,3,50,61.3,81.5,1128.7,322.7,10.7,11,97,30,34,88.2,9,15.7,57.4,0,0.2,-0.2,0.33,2.67,0,0,127.7,1
Rabbi Matondo,wal WAL,FWMF,Schalke 04,de Bundesliga,20-078,2000,1.5,12,14,85.7,178.7,9.33,6.67,7.33,90.9,4.67,4.67,100,0.67,1.33,50,0,0.07,-0.07,2,0,2,0,92.7,2
Ryder Matos,br BRA,MF,Udinese,it Serie A,27-273,1993,0.1,50,70,71.4,790,390,40,50,80,0,0,,10,20,50,0,0,0,10,10,10,10,1040,10
Chrislain Matsima,fr FRA,DF,Monaco,fr Ligue 1,18-195,2002,3.7,61.1,68.4,89.3,1310,391.4,16.2,17.6,92.3,35.1,36.2,97,9.46,13,72.9,0,0.03,-0.03,0.54,7.03,0.54,0.27,208.6,4.05
Federico Mattiello,it ITA,DF,Spezia,it Serie A,25-135,1995,0.4,72.5,105,69,1542.5,862.5,30,32.5,92.3,25,37.5,66.7,17.5,30,58.3,0,0,0,0,12.5,0,0,277.5,15
Neal Maupay,fr FRA,FW,Brighton,eng Premier League,24-104,1996,7.9,19.9,23.7,84,295.2,40.8,11.3,12.9,87.3,6.46,7.09,91.1,1.14,1.77,64.3,0.13,0.08,0.05,0.76,1.01,1.01,0.13,76.2,1.52
Tony Mauricio,fr FRA,MF,Lens,fr Ligue 1,26-249,1994,2.2,45.9,56.4,81.5,929.1,237.3,18.6,20.9,89.1,18.6,19.5,95.3,8.18,13.2,62.1,0.91,0.18,0.73,1.82,2.73,1.36,0.45,94.5,4.55
Stephy Mavididi,eng ENG,FW,Montpellier,fr Ligue 1,22-179,1998,4.1,19.8,24.1,81.8,283.7,58.3,12.2,14.4,84.7,5.37,6.83,78.6,1.22,1.46,83.3,0,0.02,-0.02,0.24,1.22,0.49,0,113.2,0.73
Konstantinos Mavropanos,gr GRE,DF,Stuttgart,de Bundesliga,22-351,1997,0.8,41.3,47.5,86.8,1017.5,523.8,3.75,3.75,100,27.5,32.5,84.6,8.75,10,87.5,0,0,0,0,1.25,0,0,106.3,1.25
Eric Maxim Choupo-Moting,cm CMR,FWMF,Bayern Munich,de Bundesliga,31-248,1989,1.3,11.5,12.3,93.8,166.2,22.3,8.46,8.46,100,2.31,3.08,75,0.77,0.77,100,0,0.31,-0.31,0.77,0.77,0,0,43.1,1.54
Borja Mayoral,es ESP,FW,Real Madrid,es La Liga,23-235,1997,0.3,10,16.7,60,183.3,0,3.33,3.33,100,6.67,10,66.7,0,3.33,0,0,0,0,0,0,0,0,32.1,0
Borja Mayoral,es ESP,FW,Roma,it Serie A,23-235,1997,1.4,22.9,27.9,82.1,367.9,70,14.3,16.4,87,7.14,9.29,76.9,1.43,1.43,100,0.71,0.14,0.57,1.43,1.43,1.43,0,33.3,4.29
Youssef Maziz,fr FRA,FWMF,Metz,fr Ligue 1,22-155,1998,0.3,26.7,43.3,61.5,483.3,156.7,10,20,50,13.3,13.3,100,3.33,10,33.3,0,0,0,0,6.67,0,0,160,10
Antonio Mazzotta,it ITA,DF,Crotone,it Serie A,31-116,1989,0.5,14,18,77.8,180,10,6,6,100,8,10,80,0,2,0,0,0,0,0,0,0,0,72,0
Kylian Mbappé,fr FRA,FWMF,Paris S-G,fr Ligue 1,21-342,1998,5.5,34.5,43.6,79.2,496.5,87.1,19.3,23.6,81.5,12,13.8,86.8,1.64,2.91,56.3,0.73,0.36,0.36,2,1.82,1.45,0.36,282.9,2.91
Ibrahima Mbaye,sn SEN,DF,Bologna,it Serie A,26-007,1994,0.3,30,36.7,81.8,563.3,426.7,16.7,20,83.3,6.67,10,66.7,6.67,6.67,100,0,0,0,0,10,0,0,80,6.67
Jean-Manuel Mbom,de GER,DFMF,Werder Bremen,de Bundesliga,20-276,2000,5.6,19.1,27.7,69,367.9,138.6,8.21,10.4,79.3,8.21,10.5,78,2.32,5.54,41.9,0.18,0.04,0.14,0.36,1.25,0.36,0.18,76.3,1.61
Nathanael Mbuku,fr FRA,MF,Reims,fr Ligue 1,18-255,2002,5.2,16.3,23.1,70.8,273.7,101.9,8.08,9.81,82.4,5.96,8.27,72.1,1.54,3.46,44.4,0,0.1,-0.1,1.35,1.35,1.73,0.38,135.4,3.46
James McArthur,sco SCO,MF,Crystal Palace,eng Premier League,33-050,1987,6.8,29,37.2,77.9,537.2,163.8,11.5,13.1,87.6,13.5,16.2,83.6,3.09,6.47,47.7,0,0.06,-0.06,0.88,3.24,0.15,0,63.5,3.38
Oliver McBurnie,sco SCO,FW,Sheffield Utd,eng Premier League,24-175,1996,6.1,19.2,29.5,65,233.1,63.3,13.1,17.2,76.2,4.75,8.36,56.9,0.33,0.82,40,0,0.07,-0.07,0.82,1.64,0.82,0,48,2.79
Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,30-359,1989,9,22.7,37,61.3,595.8,361.8,5.89,5.89,100,10.3,10.4,98.9,6.44,20.6,31.4,0,0,0,0,0.11,0.11,0,37.9,0
James McCarthy,ie IRL,MF,Crystal Palace,eng Premier League,30-014,1990,3.7,23.5,33.2,70.7,495.9,117.8,7.84,9.73,80.6,10.3,13.8,74.5,4.59,7.57,60.7,0,0,0,0.54,1.62,0.54,0.27,27.3,2.7
John McGinn,sco SCO,MF,Aston Villa,eng Premier League,26-039,1994,8,26.1,34.8,75.2,574.6,174.9,7,8,87.5,12.8,15.6,81.6,5.25,8.5,61.8,0.5,0.19,0.31,1.75,3.5,0.88,0.13,81.8,4.13
David McGoldrick,ie IRL,FWMF,Sheffield Utd,eng Premier League,32-363,1987,5.3,24.3,34,71.7,397.2,50.8,13.2,17.7,74.5,8.49,11.3,75,2.08,2.83,73.3,0,0.09,-0.09,0.19,1.51,0,0,60.9,1.32
Weston McKennie,us USA,MF,Juventus,it Serie A,22-090,1998,2.7,48.1,56.3,85.5,867.8,168.5,23,25.2,91.2,17,19.6,86.8,6.67,8.52,78.3,0.37,0.3,0.07,0.74,1.48,0.37,0,81.9,1.85
Dwight McNeil,eng ENG,MF,Burnley,eng Premier League,21-004,1999,8,29.3,41,71.3,625.9,166,11.8,14,83.9,10.5,12.6,83.2,6.75,12.6,53.5,0.13,0.14,-0.01,1.38,2.25,1.5,1,133.9,2.38
Scott McTominay,sco SCO,MF,Manchester Utd,eng Premier League,23-354,1996,5.5,47.3,54.7,86.4,984.2,228.2,16.5,18.5,89.2,22,24.4,90.3,8.18,11.1,73.8,0,0.04,-0.04,1.09,4.18,0.55,0,139.3,3.82
Gary Medel,cl CHI,MFDF,Bologna,it Serie A,33-115,1987,0.6,56.7,60,94.4,1033.3,396.7,26.7,28.3,94.1,20,21.7,92.3,8.33,8.33,100,1.67,0.33,1.33,1.67,5,1.67,0,165,5
Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,21-182,1999,8.1,59.9,69.1,86.6,1273.7,502,21.1,22.1,95.5,28.9,30.6,94.4,9.75,14.7,66.4,0,0.01,-0.01,0.12,4.07,0.12,0,163.7,5.93
Nathan de Medina,be BEL,DF,Arminia,de Bundesliga,23-049,1997,1.5,43.3,60,72.2,635.3,340,27.3,30.7,89.1,10.7,16,66.7,2.67,7.33,36.4,0,0,0,0.67,2,0.67,0.67,50.7,2.67
Ben Mee,eng ENG,DF,Burnley,eng Premier League,31-064,1989,2,32.5,42,77.4,752,331.5,12,14,85.7,13,14.5,89.7,7.5,13,57.7,0,0,0,0,0,0,0,63,0.5
Joshua Mees,de GER,FW,Union Berlin,de Bundesliga,24-225,1996,0.1,20,30,66.7,190,0,20,20,100,0,10,0,0,0,,0,0,0,0,0,0,0,40,0
Admir Mehmedi,ch SUI,MFFW,Wolfsburg,de Bundesliga,29-255,1991,5.1,39.4,49.6,79.4,639.6,169.4,20.4,23.5,86.7,14.3,17.1,83.9,3.14,6.47,48.5,0.2,0.24,-0.04,1.96,4.71,1.57,0.2,99,4.9
Soualiho Meïté,fr FRA,MF,Torino,it Serie A,26-254,1994,6.9,29.7,36.8,80.7,542.8,96.5,13.8,15.9,86.4,11.3,13.3,84.8,4.2,6.23,67.4,0.14,0.04,0.1,0.72,2.75,0.58,0,95.1,2.46
Farid El Melali,dz ALG,MFFW,Angers,fr Ligue 1,23-136,1997,1.3,29.2,41.5,70.4,463.8,163.8,16.9,20,84.6,7.69,13.1,58.8,3.08,4.62,66.7,0,0,0,0,2.31,0.77,0,297.7,3.08
Filippo Melegoni,it ITA,MF,Genoa,it Serie A,21-282,1999,0.4,40,55,72.7,765,130,20,20,100,15,22.5,66.7,5,7.5,66.7,0,0,0,0,5,0,0,172.5,5
Gonzalo Melero,es ESP,MFFW,Levante,es La Liga,26-329,1994,7.1,43.9,48.2,91.2,711.3,194.4,23.8,25.8,92.3,15.9,16.8,95,3.52,4.23,83.3,0,0.06,-0.06,1.27,3.94,0.85,0,115.8,4.79
Birger Meling,no NOR,DF,Nîmes,fr Ligue 1,25-345,1994,5.9,41.4,51.5,80.3,810.2,322.5,16.1,17.5,92.2,17.6,21,83.9,6.61,10.8,60.9,0.34,0.07,0.27,0.85,4.07,0.85,0.51,105.8,4.92
Arthur Melo,br BRA,MF,Juventus,it Serie A,24-106,1996,4.1,82.7,87.1,95,1559.8,387.6,35.1,37.6,93.5,34.1,34.6,98.6,12.4,13.2,94.4,0,0.02,-0.02,0.73,6.1,0.73,0,116.1,4.88
Houboulang Mendes,fr FRA,DF,Lorient,fr Ligue 1,22-206,1998,8.7,29.1,41.8,69.5,492.6,218.9,14.8,17.6,84.3,11.3,14.9,75.4,2.53,6.67,37.9,0,0,0,0.23,1.26,0.34,0.23,80.6,2.3
Pedro Mendes,pt POR,DF,Montpellier,fr Ligue 1,30-056,1990,8.7,36.9,45.7,80.7,904.8,268.3,8.62,9.66,89.3,17.9,19.9,90.2,9.89,14.8,66.7,0,0.01,-0.01,0.11,1.72,0.11,0.11,87.5,1.72
Thiago Mendes,br BRA,MF,Lyon,fr Ligue 1,28-256,1992,5.9,48.5,57.5,84.4,991,273.6,19,20.8,91.1,20,22.5,88.7,8.64,12,71.8,0,0.05,-0.05,1.19,8.47,1.19,0.34,83.2,5.08
Brais Méndez,es ESP,MF,Celta Vigo,es La Liga,23-324,1997,3.9,29,39.2,73.9,509.7,165.4,12.8,14.6,87.7,12.8,15.6,82,2.56,5.38,47.6,0,0.15,-0.15,1.28,2.56,1.54,0.26,99.2,4.62
